Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
12-JUN-2024,34860.05,35016.4,34505.9,34547.45,30305878,4927.1
13-JUN-2024,34796.4,35039.55,34783.2,34902.05,26950264,4716.73
14-JUN-2024,35035.7,35035.7,34568.85,34598.55,19185995,3221.52
18-JUN-2024,34696,34917.65,34655.9,34802.9,28562117,3660.68
19-JUN-2024,34904.9,35036.65,34604.05,34927.1,24027980,3488.67
20-JUN-2024,35002.5,35002.5,34728.6,34936.45,23907913,3960.03
21-JUN-2024,35474.35,35875.3,35061,35200.3,88789621,11160.88
24-JUN-2024,35067.75,35282,34918.15,35143.8,18069715,3150.76
25-JUN-2024,35146.65,35468,35004.85,35426.9,15980316,2474.23
26-JUN-2024,35484.05,35593.95,35336,35406.55,18200197,2943.35
27-JUN-2024,35289.25,36191.2,35105.7,36123.7,54771862,8264.48
28-JUN-2024,36154.2,36334.65,36041.2,36157.5,29239836,5109.96
01-JUL-2024,36103,37093.35,36085.45,36869.2,37300109,6170.21
02-JUL-2024,37006.35,37525.45,36944.9,37299.15,40610502,6099.38
03-JUL-2024,37439.45,37444,37064,37314.35,22350775,3690.09
04-JUL-2024,37455.65,37935.1,37399.1,37725.9,32040374,5691.15
05-JUL-2024,37754.15,37884.65,37491.4,37720.75,20604733,3713.24
08-JUL-2024,37766,37949.8,37582.7,37742.25,20616154,3923.73
09-JUL-2024,37747.3,37827.8,37603.85,37668.65,16012537,2824.59
10-JUL-2024,37713.95,37824.65,37110.35,37280.75,23493679,4366.18
11-JUL-2024,37464.85,37636.2,37108.35,37332.6,24520261,5091.25
12-JUL-2024,37917.35,39237.7,37825.25,39023,76205973,15102.12
15-JUL-2024,39432.1,39567,38831.65,38911.35,35274412,6810.73
16-JUL-2024,39013.75,39280,38730.55,39141.5,22068156,4151.58
18-JUL-2024,39010.35,40075.7,39010.35,40010.4,41692102,8815.94
19-JUL-2024,40682.7,40682.7,39833.1,39923.3,63862265,12599.96
22-JUL-2024,39664.85,39945.5,39418.45,39773.15,57197395,6858
23-JUL-2024,39773.75,40193.85,39081.3,40044.7,30749561,5635.89
24-JUL-2024,40003,40282.1,39918.75,40115.05,21244487,4032.17
25-JUL-2024,39809.8,40198.65,39693.6,40055.45,27746620,4690.55
26-JUL-2024,40164.45,41073.65,40081.9,40977.35,42891757,7668.74
29-JUL-2024,41220.75,41381.1,40691.35,40820.1,18132104,3466.54
30-JUL-2024,40827.1,40889.9,40561.6,40776.3,14450649,2638.61
31-JUL-2024,40728.75,41074.05,40657.05,40851.1,17768794,3855.29
01-AUG-2024,40862.4,41036.05,40537.2,40709.4,20137643,3978.47
02-AUG-2024,40346.55,40632.25,39662.65,39730.3,24241535,4424.57
05-AUG-2024,38822.55,39044.7,37829.1,38435.95,33035537,5765.44
06-AUG-2024,38565.85,39395.4,38551.7,38624.2,21482548,4045.25
07-AUG-2024,39269.05,39427.1,38882.95,39194.8,16029806,2918.38
08-AUG-2024,39030.5,39098.75,38371.15,38448.3,21557700,3883.39
09-AUG-2024,39007.7,39252.4,38931.85,39043.3,13899620,2738.71
12-AUG-2024,39038.95,39329.05,38747.85,39109.5,13612243,2545.52
13-AUG-2024,39198.25,39383.3,38972.7,39114.85,12389859,2398.39
14-AUG-2024,39259.7,39767.15,39177.7,39731.25,24107273,4582.69
16-AUG-2024,40287.3,40927.15,40063.9,40878.25,33744575,6075.72
19-AUG-2024,40940.9,41271.6,40736.55,41236.85,16279112,3351.47
20-AUG-2024,41421.25,41746.55,41366.2,41572.8,17904856,3695.07
21-AUG-2024,41532.05,41603.6,41368.05,41570.85,11451526,2433.79
22-AUG-2024,41735.25,41834,41406.2,41506.2,16994440,3242.91
23-AUG-2024,41492.75,41548.75,41029.5,41089.85,16888129,3122.94
26-AUG-2024,41343.45,41820.9,41319.05,41662.1,21222060,3967.25
27-AUG-2024,41696.85,41936.7,41589.85,41709.25,14789570,2816.54
28-AUG-2024,41792.9,42717.15,41594.9,42394.4,37778309,7565.22
29-AUG-2024,42191.1,42790.3,42151.5,42591.65,31466369,5358.28
30-AUG-2024,42644.1,42913.95,42455.1,42787.8,38058547,8345.76
02-SEP-2024,42864.85,43299.5,42847.8,42975.6,22614752,4111.97
03-SEP-2024,42953.1,43194.55,42746.75,42851.3,20102469,3744.67
04-SEP-2024,42315.7,42498.45,42023.5,42450.5,22947993,3876.33
05-SEP-2024,42578.15,42766.05,42294.55,42644.65,17745658,3705.01
06-SEP-2024,42607.85,42983.6,42167.15,42228.9,22459581,4588.71
09-SEP-2024,42104.05,42431.65,41809.65,41919.05,18575937,3558.74
10-SEP-2024,42128.3,42937.45,42055.85,42644.2,21642487,4939.26
11-SEP-2024,42710.15,42984.2,42406.15,42473.25,15886049,3267.09
12-SEP-2024,42836.5,43265.25,42449.05,43152.1,26435647,5098.99
13-SEP-2024,43244.2,43571.65,42989.4,43394.35,27990553,3898.85
16-SEP-2024,43457.4,43583.15,43286.8,43352.65,11520747,2207.07
17-SEP-2024,43294.45,43645.9,43133.55,43415,12515011,2675.8
18-SEP-2024,43222.45,43222.45,41814.4,42089.3,27073309,5569.78
19-SEP-2024,42551,42850.45,41670.8,41945.6,32448250,6418.04
20-SEP-2024,42186.85,42375.2,41614.25,42204.4,39810373,8225.23
23-SEP-2024,42288.35,42378.5,41785.15,41987.45,13966065,2822.89
24-SEP-2024,41863.35,42403.9,41691.4,42243.95,21821497,4556.45
25-SEP-2024,42128.15,42222.85,41645.85,41960.95,17346219,3828.13
26-SEP-2024,42033.9,42345.4,41982.85,42160.9,27133990,6001.14
27-SEP-2024,42738.55,43377.95,42270.55,42312.6,46471370,10673.03
30-SEP-2024,42045.55,42275.4,41853.25,41946.05,20943077,4530.08
01-OCT-2024,41916.3,42470.5,41916.3,42434.8,19498812,3995.39
