Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2019,14426.45,14480.55,14357.05,14450.9,14008384,719.2
02-JAN-2019,14467.4,14593.85,14371,14447.1,27024498,1623.15
03-JAN-2019,14479.75,14542.3,14276.5,14322.15,25156380,1666.52
04-JAN-2019,14332.65,14359.2,13958.85,14146.15,32610951,2333.04
07-JAN-2019,14238.05,14316,14204.65,14291.5,23053554,1489.59
08-JAN-2019,14344.6,14357.75,14238.2,14285.7,30284463,1787.02
09-JAN-2019,14417.2,14495.7,14162.2,14326.05,39777101,2534.27
10-JAN-2019,14388.85,14393.45,14272.25,14323.25,25385563,1726.05
11-JAN-2019,14288.95,14326.9,14134.25,14307.1,36388890,3354.29
14-JAN-2019,14474.5,14495.7,14196,14223.6,41011605,2803.59
15-JAN-2019,14265.7,14685.5,14262.4,14658.5,82293752,4173.94
16-JAN-2019,14688.85,14732.75,14610.1,14707.8,41887904,2152.28
17-JAN-2019,14714.25,14813.9,14660.05,14800.25,38250488,2541.57
18-JAN-2019,14744.05,14923.75,14709.45,14892.95,34624811,2132.03
21-JAN-2019,14920.35,15100.2,14850,14966.4,45511115,2765.18
22-JAN-2019,14927.15,15019.6,14814.95,14962.6,33064975,2295.21
23-JAN-2019,14975.2,15003.85,14856.85,14888.75,37429423,2544.04
24-JAN-2019,14897.45,15003.55,14793.25,14971.85,33165996,1848.91
25-JAN-2019,14952.75,15161.2,14927.25,15039.25,39347664,1985.66
28-JAN-2019,15085.05,15161.7,15026.75,15120.1,35878523,2037.27
29-JAN-2019,15126.15,15293,14986.7,15231.3,31191349,1972.02
30-JAN-2019,15304,15381.45,15192.4,15255.2,37418911,2350.85
31-JAN-2019,15299.45,15513.45,15276.05,15499.3,47438828,3095.84
01-FEB-2019,15522.55,15751.75,15485.7,15724.3,29344350,2007.39
04-FEB-2019,15727.2,15819.7,15635.9,15754.8,23254965,1305.67
05-FEB-2019,15709,15812.15,15634.95,15738.7,26077745,1193.27
06-FEB-2019,15857.7,16090.7,15835.7,16055.6,44339473,2544.02
07-FEB-2019,16045.55,16167.85,16031.15,16085.85,30232353,1525.91
08-FEB-2019,16001.15,16145.7,15979.8,16019.8,25548817,1771.19
11-FEB-2019,16050.2,16159.05,16002.5,16099.05,22644494,1592.52
12-FEB-2019,16093.45,16094.6,15788.1,15938.6,33477588,1842.84
13-FEB-2019,15958.4,16087.3,15885.3,16041.65,28680952,1679.8
14-FEB-2019,15992.45,16002.2,15828.85,15861.65,25024087,1390.32
15-FEB-2019,15898.4,15912.45,15620.45,15815.6,55717193,1769.87
18-FEB-2019,15895.5,15948.1,15618.05,15659,30337931,1910.98
19-FEB-2019,15644.05,15651.9,15287.5,15333.5,28734431,2237.58
20-FEB-2019,15382.45,15651.7,15330.8,15609.45,33005377,2140.99
21-FEB-2019,15609.15,15691.4,15492.2,15588.9,40924365,3161.58
22-FEB-2019,15582.8,15717.3,15543.5,15684.7,26504046,1638.83
25-FEB-2019,15738.95,16029.95,15729.25,16003.7,25015005,1827.72
26-FEB-2019,15933.8,16069.4,15874.95,15989.6,33173348,2846.89
27-FEB-2019,15983.8,16007.65,15803.7,15902.1,39729486,2502.14
28-FEB-2019,15974.1,15974.1,15694.85,15732,48900361,3746.36
01-MAR-2019,15778.15,15871.1,15752.2,15848.3,31816077,2135.47
05-MAR-2019,15839.2,15839.2,15634.55,15664.1,55372214,2188.17
06-MAR-2019,15732.35,15814.7,15681.1,15735.05,66054615,2396.5
07-MAR-2019,15788.15,15788.15,15558.95,15582.1,35405290,2226.77
08-MAR-2019,15544.35,15545.65,15388.2,15408.7,47183037,2172.98
11-MAR-2019,15432.9,15500.75,15349.6,15388.5,66030778,2384.96
12-MAR-2019,15408.85,15497.2,15349.8,15384.55,50310706,2372.1
13-MAR-2019,15442.25,15550.85,15300.25,15342.9,49018707,2560.27
14-MAR-2019,15422.6,15437.05,15202.05,15260.45,39544967,1851.65
15-MAR-2019,15346,15649.25,15324.85,15546.6,55791714,3631.75
18-MAR-2019,15614.8,15661.3,15304.75,15359.45,30222245,2046.39
19-MAR-2019,15432.5,15545.45,15296,15495.55,33434307,2268.18
20-MAR-2019,15563.95,15735.25,15554.45,15599.25,43418330,2957.05
22-MAR-2019,15652.3,15652.3,15462.2,15551.1,32634674,2167.76
