Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-DEC-2017,11123.6,11180.4,10930.95,10948.5,15744634,766.04
04-DEC-2017,11007.95,11138.1,10901.1,11081.65,28758345,1619.53
05-DEC-2017,11079.35,11121.85,11005.9,11025.4,22390897,1209.54
06-DEC-2017,11024.55,11099.05,11006.2,11074.9,26426388,1170.9
07-DEC-2017,11075.55,11178.8,11057.45,11163.45,25529596,1338.8
08-DEC-2017,11189.8,11249.3,11159.75,11173.4,18936548,1021.67
11-DEC-2017,11178.9,11343.15,11170.45,11324,14923112,856.25
12-DEC-2017,11327.7,11341.75,11251.7,11272.45,19365806,1298.25
13-DEC-2017,11257.05,11328.75,11210.7,11251.7,18858996,1362.11
14-DEC-2017,11257.95,11307.9,11174.65,11275.4,20290720,1712.66
15-DEC-2017,11299.6,11337,11245.55,11288.3,24617772,1646.03
18-DEC-2017,11211.8,11345.4,11096.6,11315.2,19133106,1017.29
19-DEC-2017,11324.55,11334.05,11214.6,11240.65,21155830,1200.95
20-DEC-2017,11267.4,11322.2,11198.6,11304.2,14537868,868.23
21-DEC-2017,11317.5,11406.4,11288.75,11374.3,15989407,1108.95
22-DEC-2017,11368.2,11532.75,11345.25,11501.9,18433681,1574.07
26-DEC-2017,11503,11531.25,11454.9,11507.4,17496410,1224.74
27-DEC-2017,11490.3,11538.7,11465.6,11509.25,13758340,825.3
28-DEC-2017,11481.8,11549.8,11460.8,11496.4,33607636,1547.85
29-DEC-2017,11479.5,11689.75,11430.65,11665.75,123646100,2644.27
01-JAN-2018,11612.7,11655.85,11549,11565.75,32997971,1105.66
02-JAN-2018,11587.85,11655.5,11558.45,11602.35,25819255,1210.04
03-JAN-2018,11617.35,11693.35,11573.25,11586.7,22309482,1212.57
04-JAN-2018,11599.05,11607.75,11510.4,11590.8,17417396,993.59
05-JAN-2018,11575.45,11691.45,11541.8,11633.55,17507348,1168.19
08-JAN-2018,11674.35,11793.85,11661.5,11776.85,17601459,1034.84
09-JAN-2018,11805.35,11819.35,11685.75,11790.85,26689866,1413.4
10-JAN-2018,11803.85,12076.25,11762.5,12054.7,24012407,1757.47
11-JAN-2018,12060.8,12178.8,12045.45,12103.1,27129023,2022.24
12-JAN-2018,12144.8,12146.75,12004.4,12099.15,26161722,2053.47
15-JAN-2018,12103.5,12214.65,11971.95,11992.75,17080568,1203.27
16-JAN-2018,12036.55,12487.25,12027.3,12430.95,38696788,3047.06
17-JAN-2018,12473.05,12653.25,12432.75,12531.4,29648559,2780.78
18-JAN-2018,12565.85,12605.15,12431.8,12570.7,26886980,1992.04
19-JAN-2018,12577.25,12668.55,12485.3,12633.85,17534922,1327.65
22-JAN-2018,12544.6,12924.6,12521.15,12894.95,31661630,2467.99
23-JAN-2018,12919.3,13084.2,12898.25,13048.9,30760333,2441.26
24-JAN-2018,13020.3,13553.95,13005.95,13249.55,50984631,3992.15
25-JAN-2018,13257.9,13259.15,12996.75,13117.85,42395918,2723.25
29-JAN-2018,13113.2,13328.05,13096.45,13242.5,25031799,1993.56
30-JAN-2018,13193,13238.5,13071.85,13107.9,35198915,1848.96
31-JAN-2018,13050.85,13142.85,12943.35,12986.4,26948151,2004.28
01-FEB-2018,12965.6,13141.75,12812.95,12964.6,21842854,1761.5
02-FEB-2018,12872.5,13130.25,12846.2,12983.6,23059095,1723.63
05-FEB-2018,12878.7,13104.8,12845,12936.9,22877661,1705.59
06-FEB-2018,12516.2,12750.7,12490.75,12562.35,25026447,1782.24
07-FEB-2018,12667.6,12680.3,12419.4,12450.05,22645095,1580.44
08-FEB-2018,12556.8,12764.75,12468.5,12588.35,27839336,1776.56
09-FEB-2018,12449.7,12556.2,12350.4,12492.7,19357882,1241.4
12-FEB-2018,12544.7,12591.95,12390.9,12422.65,20607388,1255.51
14-FEB-2018,12438.2,12546,12346,12420,23964695,1675.03
