Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
01-JAN-2025,43290.65,43568.5,43249.8,43373.1,12841575,1634.76
02-JAN-2025,43401.65,44420.95,43325.9,44351.75,23676163,4108.81
03-JAN-2025,44334.15,44337.15,43554.95,43726.55,27314774,4102.37
06-JAN-2025,43961.65,44331.1,43401.7,43674.85,22700193,3937.15
07-JAN-2025,43836.35,44112.05,43293.65,43375.85,19977573,3970.67
08-JAN-2025,43333.9,43725.95,42735.55,43634.25,20054481,3539.17
09-JAN-2025,43606.3,43838.65,43032.45,43126.45,21861671,3891.46
10-JAN-2025,43731.5,44798.65,43731.5,44609.5,46424468,9036.91
13-JAN-2025,44390.6,44655.7,43927.4,43999.1,28748398,6031.62
14-JAN-2025,43996.6,44007.55,42916.75,43061.15,38291393,7914.23
15-JAN-2025,43190.8,43447.7,42976.3,43401.25,16576740,3961.92
16-JAN-2025,43696.45,44012.35,43095,43188.8,31322780,5941.04
17-JAN-2025,42469,42495.05,41962.65,42032.2,34631091,6083.81
20-JAN-2025,42377.35,42478.5,41709.55,42192.8,54717576,4776.05
21-JAN-2025,42288.55,42536.7,41639,41697.95,32723955,4581.61
22-JAN-2025,41755.2,42635.35,41750.2,42590.7,49411812,5702.4
23-JAN-2025,42750.45,43663.45,42741.2,43351.75,60011060,8544.03
24-JAN-2025,43220.45,43959.15,43217.5,43524.1,36057623,6366.55
27-JAN-2025,42986.9,43245.95,41961.15,42060.7,29656533,4814.72
28-JAN-2025,42097.05,42463.15,41731.25,41820.65,31326522,5508.94
29-JAN-2025,42052,42968.4,42051.55,42914.5,29718976,3991.22
30-JAN-2025,42893.8,43025.85,42117.35,42426.65,24784932,4138.51
31-JAN-2025,42586.1,42967.75,42486.8,42662.75,27490640,3553.95
01-FEB-2025,42680.8,42855.95,41938.05,42030.3,10107086,1351.48
03-FEB-2025,41592.2,42375.25,41328.25,42314.25,27108841,3671.15
04-FEB-2025,42642.75,42931.1,42407.35,42860.2,32171930,4806.38
05-FEB-2025,43060.65,43250.75,42818.1,42888.3,21924580,3509.41
06-FEB-2025,43197.3,43431.8,42838.15,43020.95,26495845,3455.5
07-FEB-2025,43106.15,43133.35,42623.45,42921.65,19183748,2923.42
10-FEB-2025,42956.45,42973.65,42511.25,42596.55,21592951,2763.02
11-FEB-2025,42616.9,42790.25,41866.6,41968.3,21543291,3148.44
12-FEB-2025,42039.5,42263.05,41591.2,41733,23640710,4205.28
13-FEB-2025,41787,41944.7,41182.4,41315.55,21275143,3481.89
14-FEB-2025,41547.05,41606.75,40958,41311.15,18638383,3260.01
17-FEB-2025,40968.8,41254.9,40592.5,41073.2,17430176,2949.74
18-FEB-2025,41097.45,41530.3,41039.25,41464.35,23191617,3899.2
19-FEB-2025,41373.5,41403.25,40785.05,40924.25,20828566,4064.27
20-FEB-2025,40725.4,41004.85,40701.1,40865.95,17412730,3113.88
21-FEB-2025,40821.65,40905.4,40417.45,40544.5,18410013,3045.56
24-FEB-2025,40100.25,40186.5,39306.7,39446.6,32175193,5407.44
25-FEB-2025,39085.6,39518.2,39066.4,39131.3,24866437,4011.89
27-FEB-2025,38971.6,39237.7,38742.9,38946.65,31388330,4336.55
28-FEB-2025,38620.7,38642,37167.3,37318.3,50689680,8928.8
03-MAR-2025,37408.65,37930.15,37369.7,37614.45,30426299,4930.69
04-MAR-2025,37228.8,37537.2,36797.4,37276.95,26573916,4201.48
05-MAR-2025,37287.25,38381.75,37287.25,38072.3,31524802,6939.59
06-MAR-2025,38226.1,38347.1,37912,38145.3,30184830,5281.13
07-MAR-2025,38028.15,38048.35,37625.05,37820.45,22926601,3772.5
10-MAR-2025,37791.6,38037.3,37564.4,37644.4,20544833,2837.01
11-MAR-2025,37185.25,37500.8,36826.9,37400.1,28487096,4458.08
12-MAR-2025,37181.85,37201.55,35828.8,36310.65,44906537,6103.47
13-MAR-2025,36378.2,36592.95,35948.25,36122.5,23380461,3408.46
17-MAR-2025,35828.05,36170.25,35828.05,36137.2,29604117,4380.43
18-MAR-2025,36242.15,36681.15,36008.85,36619.35,29882904,4523.58
19-MAR-2025,36581.65,36581.65,35804.6,36223.5,36871655,5152.51
20-MAR-2025,36444.55,37109.85,36444.55,36676.65,37114607,4936.71
21-MAR-2025,35942.5,37033.9,35674.4,36702.8,53114455,7523.77
24-MAR-2025,36944.9,37469.85,36539.95,37217.05,27863918,4362.62
25-MAR-2025,37542.4,38073.05,37406,37706.9,36111649,6025.86
26-MAR-2025,37719.45,37929.4,37216.6,37336.7,23500984,3973.38
27-MAR-2025,37168.15,37627.6,37160,37548.3,35061407,4997.2
28-MAR-2025,37376.6,37540.8,36767.25,36886.15,28800180,3788.73
01-APR-2025,36422.85,36538.6,35890.4,35980.65,31043045,4841.54
02-APR-2025,36024.45,36368.85,35970.7,36283.5,21620322,3458.29
03-APR-2025,35676.45,35686.55,34642.4,34757.25,38269354,6957.54
04-APR-2025,34224.6,34361.65,33418.65,33511.4,42306935,7777.74
07-APR-2025,31307.95,32835.1,30918.95,32668.8,56219869,9290.5
08-APR-2025,33232.4,33742.85,32859.05,33244.4,42276073,6484.69
09-APR-2025,32710.25,32762.3,32200.25,32517.35,41929049,5372.62
11-APR-2025,32926.65,33210.8,32526,32740.85,41380014,7228.59
15-APR-2025,33504.15,33520.65,32932.95,33275.3,31534729,4568.82
16-APR-2025,33215.95,33387.45,32867.95,33295.5,35816052,4117.34
17-APR-2025,32832.65,33471.55,32470.95,33372.35,82804558,7192.51
21-APR-2025,33299.6,34528.55,33283.85,34135.05,44704508,6252.36
22-APR-2025,34075.6,34130.3,33789.15,33941.05,37712498,4395.43
23-APR-2025,34700.1,35522.75,34648.45,35414.65,71805916,9648.79
24-APR-2025,35463.6,35572,35197.3,35307.1,43553843,6108.2
25-APR-2025,35487.3,35941.45,35068.15,35562.25,46181797,7158.39
28-APR-2025,35541.55,35679.35,35089.75,35482.95,28973047,3706.41
29-APR-2025,35565.75,36157.2,35416.9,35920.4,33732273,4220.55
30-APR-2025,35913.7,36206.55,35440.8,35794.95,32344522,4364.33
02-MAY-2025,35868.5,36300.6,35637.4,35891.85,31311163,4166.92
05-MAY-2025,36042.6,36352.4,35949.35,35991.25,21175475,2587.6
06-MAY-2025,36129.3,36314.2,35778.8,35869.2,21845224,4295.34
07-MAY-2025,35479.1,36042.25,35440.65,35920.3,24863436,3651.27
08-MAY-2025,35960.95,36240.25,35832.8,36002.45,30708492,4914.18
09-MAY-2025,35490.9,35929.3,35488.4,35880.1,22085342,3115.38
12-MAY-2025,36656.65,38356.1,36600.75,38282.55,43159289,6369.61
13-MAY-2025,38326.4,38326.4,37304.95,37354.6,36649336,5828.32
